"State","pm25","Number.With.Current.Asthma.","Percent.With.Current.Asthma..SE.","Number.of.Deaths1","Crude.Death.Rate..SE.1.Per.Million.","Adjusted.Death.Rate..SE.1.2.Per.Million","date","total_cases","total_deaths","asthma","covid"
"New Jersey",93.7,"646,963","8.9 (0.46)","119","12.8 (1.18)","11.8 (1.11)","2021-12-31",1564253,29037,646963,1564253
"New Mexico",33.7,"173,518","10.6 (0.53)","26","12.3 (2.41)","10.3 (2.07)","2021-12-31",350043,5857,173518,350043
"New York",95.9,"1,563,485","9.8 (0.28)","248","12.5 (0.79)","10.6 (0.69)","2021-12-31",3473970,58993,1563485,3473970
"North Carolina",128,"717,344","8.7 (0.51)","108","10.2 (0.98)","8.9 (0.88)","2021-12-31",1685504,19436,717344,1685504
"North Dakota",75.6,"50,012","8.4 (0.50)","10","—3 (4.08)","—3 (4.52)","2021-12-31",174220,2057,50012,174220
"Ohio",186.2,"955,568","10.4 (0.38)","124","10.5 (0.95)","9.8 (0.91)","2021-12-31",2016095,29447,955568,2016095
"Oklahoma",105.6,"326,087","10.9 (0.54)","47","11.8 (1.72)","11.0 (1.64)","2021-12-31",708938,11552,326087,708938
"Oregon",52,"377,851","11.2 (0.53)","67","15.8 (1.93)","13.0 (1.64)","2021-12-31",421263,5655,377851,421263
"Pennsylvania",260.9,"1,062,292","10.3 (0.51)","143","11.0 (0.92)","9.3 (0.82)","2021-12-31",2036424,36705,1062292,2036424
"Rhode Island",20.6,"111,498","12.6 (0.62)","—4","—4","—4","2021-12-31",231096,3066,111498,231096
"South Carolina",64.3,"372,607","9.2 (0.45)","71","13.7 (1.62)","12.3 (1.52)","2021-12-31",975320,14636,372607,975320
"South Dakota",45.2,"55,927","8.3 (0.78)","—4","—4","—4","2021-12-31",179204,2486,55927,179204
"Tennessee",131.4,"558,276","10.3 (0.59)","83","11.9 (1.31)","11.3 (1.27)","2021-12-31",1379917,20640,558276,1379917
"Texas",212.1,"1,854,306","8.4 (0.45)","295","10.0 (0.58)","10.1 (0.60)","2021-12-31",4574881,76062,1854306,4574881
"Utah",81.3,"231,080","9.7 (0.38)","24","7.2 (1.47)","8.6 (1.78)","2021-12-31",637144,3787,231080,637144
"Vermont",21.1,"61,465","11.8 (0.61)","—4","—4","—4","2021-12-31",64447,471,61465,64447
"Virginia",121.4,"661,945","9.8 (0.41)","85","9.8 (1.07)","9.1 (1.01)","2021-12-31",1118518,15587,661945,1118518
"Washington",84.8,"641,131","10.5 (0.36)","85","11.0 (1.19)","10.1 (1.11)","2021-12-31",852824,9904,641131,852824
"West Virginia",88.2,"171,141","12.1 (0.50)","16","—3 (2.24)","—3 (1.98)","2021-12-31",328162,5336,171141,328162
"Wisconsin",132.8,"498,228","10.8 (0.59)","67","11.4 (1.39)","10.1 (1.26)","2021-12-31",1120669,11173,498228,1120669
"Wyoming",25.4,"43,188","9.7 (0.67)","10","—3 (5.46)","—3 (4.75)","2021-12-31",115638,1526,43188,115638
